Title,type,directors,duration,douban_score
被嫌弃的松子的一生 嫌われ松子の一生,剧情,中岛哲也,又名:,8.9
爱在黎明破晓前 Before Sunrise,剧情,理查德·林克莱特,又名:,8.8
7号房的礼物 7번방의 선물,剧情,李焕庆,片长:,8.9
剪刀手爱德华 Edward Scissorhands,剧情,蒂姆·波顿,105分钟,8.7
入殓师 おくりびと,剧情,泷田洋二郎,130分钟,8.9
断背山 Brokeback Mountain,剧情,李安,2005-09-02(威尼斯电影节),8.8
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,剧情,克里斯托弗·诺兰,上映日期:,8.9
请以你的名字呼唤我 Call Me by Your Name,剧情,卢卡·瓜达尼诺,2018-01-25(意大利),8.8
第六感 The Sixth Sense,剧情,M·奈特·沙马兰,107分钟,8.9
甜蜜蜜,剧情,陈可辛,118分钟(中国大陆),8.9
幽灵公主 もののけ姫,动画,宫崎骏,134分钟,8.9
超能陆战队 Big Hero 6,喜剧,唐·霍尔,上映日期:,8.7
爱在日落黄昏时 Before Sunset,剧情,理查德·林克莱特,80 分钟,8.9
勇敢的心 Braveheart,剧情,梅尔·吉布森,1995-05-18(西雅图电影节),8.9
菊次郎的夏天 菊次郎の夏,剧情,北野武,片长:,8.9
重庆森林 重慶森林,剧情,王家卫,又名:,8.8
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,动画,米林宏昌,片长:,8.9
天使爱美丽 Le fabuleux destin d'Amélie Poulain,剧情,让-皮埃尔·热内,片长:,8.7
完美的世界 A Perfect World,剧情,克林特·伊斯特伍德,138分钟,9.1
阳光灿烂的日子,剧情,姜文,片长:,8.8
小森林 夏秋篇 リトル・フォレスト 夏・秋,剧情,森淳一,IMDb:,9.0
消失的爱人 Gone Girl,剧情,大卫·芬奇,2014-10-03(美国),8.7
寄生虫 기생충,剧情,奉俊昊,又名:,8.8
倩女幽魂,爱情,程小东,1987-07-18(中国香港),8.8
无人知晓 誰も知らない,剧情,是枝裕和,又名:,9.1
